education_id,education_level,field_of_study,university_ranking,region_of_study,gpa
1,'Bachelor''s',IT,Low,EU,3.76
2,'Master''s',Arts,High,UK,3.76
3,PhD,Engineering,High,Canada,3.52
4,PhD,Health,Medium,Australia,3.28
5,PhD,Engineering,High,Canada,3.01
6,Diploma,Engineering,Medium,Canada,2.41
7,Diploma,Engineering,Medium,Australia,2.42
8,'Master''s',Business,Medium,Australia,2.63
9,'Master''s',Social Sciences,Medium,UK,3.66
10,'Master''s',IT,Medium,Australia,3.31
11,'Master''s',Business,Medium,UK,3.01
12,'Bachelor''s',IT,High,EU,2.33
13,PhD,Health,Low,Australia,2.96
14,'Bachelor''s',Social Sciences,Low,UK,3.09
15,Diploma,IT,Medium,EU,2.74
16,'Bachelor''s',Health,Medium,UK,3.03
17,'Master''s',Social Sciences,High,EU,3.46
18,'Bachelor''s',Social Sciences,Medium,UK,3.62
19,'Master''s',Business,High,Australia,3.19
20,'Bachelor''s',Health,Medium,Canada,3.44
21,'Bachelor''s',Engineering,Low,EU,2.78
22,Diploma,IT,Medium,Canada,3.43
23,'Master''s',IT,High,UK,3.66
24,'Bachelor''s',Business,Medium,Canada,3.74
25,'Master''s',Health,Medium,EU,2.42
26,'Bachelor''s',Arts,Medium,Canada,2.03
27,PhD,Health,Medium,Canada,3.55
28,Diploma,Business,High,EU,2.9
29,Diploma,Health,High,Canada,2.43
30,PhD,Health,Medium,EU,3.61
31,'Master''s',Arts,High,UK,3.27
32,'Bachelor''s',Business,Medium,UK,2.77
33,'Bachelor''s',Business,Low,UK,3.24
34,'Bachelor''s',IT,Medium,UK,3.37
35,'Master''s',Social Sciences,Medium,UK,3.27
36,'Master''s',IT,Medium,EU,3.57
37,'Master''s',Social Sciences,Medium,Canada,3.47
38,'Bachelor''s',IT,High,EU,2.58
39,'Bachelor''s',Social Sciences,Low,Australia,2.86
40,'Bachelor''s',IT,Medium,UK,3.59
41,PhD,IT,High,Canada,2.86
42,'Bachelor''s',Social Sciences,High,EU,3.95
43,PhD,Social Sciences,Medium,UK,3.61
44,'Bachelor''s',IT,Medium,EU,3.59
45,'Master''s',Engineering,Medium,Australia,3.59
46,'Bachelor''s',IT,Medium,EU,3.17
47,'Master''s',IT,High,UK,2.9
48,'Bachelor''s',Social Sciences,Medium,Canada,3.25
49,'Master''s',Social Sciences,High,EU,3.3
50,'Master''s',Engineering,High,Canada,3.53
51,'Master''s',Business,Medium,Canada,3.26
52,'Master''s',Arts,Medium,Canada,3.24
53,'Bachelor''s',Social Sciences,High,UK,3.34
54,PhD,Social Sciences,High,Canada,3.32
55,'Master''s',Health,Medium,UK,2.94
56,'Bachelor''s',Health,Medium,EU,3.34
57,Diploma,Business,Low,EU,3.55
58,'Master''s',Arts,Low,Canada,3.24
59,'Bachelor''s',Business,Medium,EU,2.48
60,'Bachelor''s',Business,High,UK,3.83
61,'Bachelor''s',Arts,Medium,UK,3.16
62,'Bachelor''s',IT,Low,Canada,3.52
63,'Bachelor''s',Health,Medium,UK,3.12
64,'Master''s',Business,Medium,EU,3.66
65,'Master''s',Business,High,Canada,3.36
66,'Bachelor''s',Social Sciences,Medium,Canada,3.13
67,Diploma,IT,Low,Canada,3.5
68,'Bachelor''s',Social Sciences,Low,EU,3.19
69,'Master''s',Business,High,UK,3.29
70,'Master''s',Business,High,Australia,2.98
71,'Master''s',Health,Low,UK,3.29
72,'Master''s',Social Sciences,Medium,UK,3.21
73,'Master''s',Arts,Medium,UK,2.68
74,Diploma,Social Sciences,Medium,UK,2.85
75,'Master''s',Health,Medium,Canada,3.37
76,'Master''s',Business,High,EU,3.16
77,PhD,IT,Low,UK,3.35
78,PhD,Social Sciences,Medium,Australia,2.63
79,'Master''s',Health,Medium,Australia,2.97
80,Diploma,IT,Medium,Australia,3.94
81,PhD,Engineering,Medium,UK,3.65
82,Diploma,Health,Medium,EU,3.82
83,'Bachelor''s',Engineering,High,UK,2.42
84,Diploma,Engineering,Low,UK,3.42
85,Diploma,IT,Medium,Canada,2.65
86,'Master''s',Arts,High,UK,3.47
87,'Bachelor''s',Business,Medium,EU,2.59
88,'Master''s',Business,High,UK,3.81
89,'Master''s',Engineering,Medium,UK,3.27
90,'Master''s',Engineering,Low,Australia,2.95
91,'Bachelor''s',Business,High,Australia,2.37
92,'Bachelor''s',Social Sciences,Medium,UK,3.52
93,'Master''s',Engineering,High,Canada,3.89
94,'Bachelor''s',Health,Medium,Canada,3.62
95,'Bachelor''s',Engineering,Medium,Australia,3.0
96,'Bachelor''s',Health,Low,UK,3.14
97,PhD,Social Sciences,Low,Australia,3.1
98,PhD,Arts,Medium,Canada,3.8
99,PhD,Health,Medium,EU,3.48
100,'Bachelor''s',Social Sciences,Medium,Australia,3.98
101,'Bachelor''s',Health,High,UK,2.63
102,'Bachelor''s',Health,Medium,Canada,2.46
103,Diploma,IT,Medium,UK,3.13
104,'Bachelor''s',Engineering,Low,EU,3.1
105,Diploma,Health,High,EU,3.08
106,'Master''s',Engineering,High,Australia,3.46
107,'Bachelor''s',Business,High,Australia,3.48
108,'Master''s',Health,Medium,Australia,2.71
109,PhD,Arts,High,Canada,3.36
110,'Bachelor''s',Health,Medium,EU,2.78
111,'Master''s',Arts,High,Canada,3.09
112,'Bachelor''s',Engineering,Low,UK,3.77
113,'Bachelor''s',Engineering,Medium,UK,3.87
114,'Master''s',Arts,Low,Australia,2.78
115,PhD,Social Sciences,Medium,UK,3.24
116,PhD,IT,High,UK,3.29
117,'Bachelor''s',Engineering,High,Australia,3.05
118,'Bachelor''s',Social Sciences,High,EU,3.08
119,'Bachelor''s',IT,Low,Canada,3.38
120,PhD,Arts,Medium,Australia,3.08
121,'Master''s',Engineering,High,Australia,3.19
122,'Bachelor''s',Social Sciences,Medium,Australia,3.23
123,PhD,Health,Medium,Canada,3.27
124,PhD,Health,Medium,Canada,3.87
125,'Bachelor''s',IT,Low,Canada,3.43
126,Diploma,Social Sciences,Medium,Canada,3.65
127,'Master''s',Business,Low,EU,3.13
128,'Bachelor''s',Social Sciences,High,Canada,2.07
129,'Bachelor''s',Arts,Medium,Australia,3.64
130,'Master''s',Arts,Low,Canada,3.67
131,PhD,Health,High,Canada,2.34
132,'Master''s',IT,High,UK,3.48
133,'Bachelor''s',Business,High,Australia,2.46
134,'Master''s',Business,Medium,EU,3.19
135,'Bachelor''s',Engineering,Low,Australia,3.02
136,PhD,Health,Low,Australia,3.42
137,'Bachelor''s',Health,Medium,Australia,3.64
138,'Bachelor''s',Arts,Medium,Australia,2.57
139,PhD,Health,Medium,EU,3.55
140,'Bachelor''s',Health,Medium,Australia,3.54
141,'Master''s',Arts,Medium,UK,3.08
142,'Master''s',Business,High,EU,2.99
143,'Master''s',Arts,Medium,Australia,3.39
144,'Bachelor''s',Engineering,Medium,Australia,3.28
145,'Bachelor''s',Health,Low,EU,3.57
146,'Bachelor''s',Health,Medium,Australia,3.08
147,'Bachelor''s',IT,High,EU,2.54
148,'Bachelor''s',Social Sciences,Low,Australia,2.8
149,Diploma,Engineering,High,Australia,3.34
150,'Master''s',Health,Medium,Australia,2.64
151,'Master''s',Health,High,UK,3.58
152,Diploma,Social Sciences,Low,UK,3.0
153,'Master''s',IT,Medium,UK,3.49
154,'Master''s',Social Sciences,Medium,Canada,3.03
155,'Bachelor''s',Arts,Low,Canada,3.2
156,'Bachelor''s',Business,High,Australia,3.42
157,'Master''s',IT,Medium,Canada,2.7
158,'Bachelor''s',Social Sciences,Medium,EU,3.07
159,'Bachelor''s',Arts,Medium,Canada,2.98
160,'Bachelor''s',Arts,Medium,EU,3.16
161,'Bachelor''s',IT,Medium,UK,3.52
162,'Bachelor''s',IT,Low,Australia,3.24
163,'Bachelor''s',Arts,Medium,Australia,3.27
164,'Master''s',Arts,Medium,EU,3.11
165,'Master''s',IT,Medium,EU,3.7
166,'Master''s',Health,Medium,UK,2.8
167,PhD,Engineering,Medium,UK,2.98
