time_id,graduation_date,years_since_graduation
1,2025-06-23,1
2,2012-10-29,14
3,2026-06-08,0
4,2026-09-02,0
5,2026-11-14,0
6,2011-07-20,15
7,2015-07-08,11
8,2018-02-27,8
9,2021-06-28,5
10,2012-10-27,14
11,2012-12-27,14
12,2025-09-10,1
13,2019-09-06,7
14,2014-06-19,12
15,2019-11-23,7
16,2020-02-06,6
17,2011-06-24,15
18,2016-03-24,10
19,2016-04-07,10
20,2016-08-08,10
21,2010-12-07,16
22,2013-08-06,13
23,2021-06-30,5
24,2010-07-03,16
25,2012-03-30,14
26,2014-08-09,12
27,2026-11-09,0
28,2019-12-16,7
29,2009-01-11,17
30,2021-03-02,5
31,2024-01-12,2
32,2011-11-18,15
33,2015-06-26,11
34,2025-01-23,1
35,2015-08-29,11
36,2025-11-14,1
37,2024-12-01,2
38,2026-02-12,0
39,2009-04-11,17
40,2025-11-30,1
41,2023-11-26,3
42,2017-06-27,9
43,2026-11-22,0
44,2014-10-27,12
45,2015-07-09,11
46,2019-04-08,7
47,2017-09-28,9
48,2021-06-21,5
49,2011-10-24,15
50,2020-05-24,6
51,2021-08-26,5
52,2011-01-21,15
53,2022-05-22,4
54,2026-04-27,0
55,2020-07-05,6
56,2025-07-30,1
57,2024-12-17,2
58,2022-09-26,4
59,2016-01-03,10
60,2024-06-17,2
61,2012-01-15,14
62,2020-01-24,6
63,2012-10-18,14
64,2014-09-28,12
65,2017-10-04,9
66,2018-06-25,8
67,2015-03-31,11
68,2024-04-15,2
69,2018-12-10,8
70,2020-09-07,6
71,2013-04-17,13
72,2011-03-05,15
73,2022-08-31,4
74,2021-11-12,5
75,2026-02-05,0
76,2026-09-03,0
77,2024-02-01,2
78,2020-12-11,6
79,2026-04-01,0
80,2025-04-27,1
81,2026-12-24,0
82,2009-03-14,17
83,2016-08-30,10
84,2025-08-08,1
85,2008-02-10,18
86,2014-04-20,12
87,2013-02-19,13
88,2017-10-31,9
89,2022-08-02,4
90,2019-12-02,7
91,2022-05-19,4
92,2011-01-27,15
93,2026-11-20,0
94,2013-03-06,13
95,2012-03-07,14
96,2026-07-07,0
97,2015-06-09,11
98,2020-09-27,6
99,2021-04-17,5
100,2014-01-20,12
101,2010-01-24,16
102,2015-02-10,11
103,2010-08-11,16
104,2019-03-07,7
105,2014-04-26,12
106,2014-10-01,12
107,2022-04-30,4
108,2020-10-28,6
109,2025-08-17,1
110,2024-05-16,2
111,2022-09-14,4
112,2010-11-25,16
113,2013-01-27,13
114,2026-10-22,0
115,2015-04-08,11
116,2017-04-23,9
117,2012-03-27,14
118,2026-08-06,0
119,2018-12-23,8
120,2024-06-04,2
121,2011-08-19,15
122,2016-05-21,10
123,2026-07-23,0
124,2026-05-08,0
125,2024-05-19,2
126,2023-07-07,3
127,2012-12-19,14
128,2022-05-11,4
129,2018-04-04,8
130,2026-02-14,0
131,2014-03-22,12
132,2025-01-02,1
133,2022-04-26,4
134,2024-02-14,2
135,2026-07-12,0
136,2021-06-18,5
137,2014-04-01,12
138,2023-06-14,3
139,2017-07-30,9
140,2026-01-11,0
141,2026-07-08,0
142,2021-06-10,5
143,2023-02-28,3
144,2022-03-20,4
145,2013-10-13,13
146,2011-09-04,15
147,2009-10-21,17
148,2019-03-18,7
149,2011-10-31,15
150,2024-04-24,2
151,2011-03-07,15
152,2016-01-02,10
153,2017-05-20,9
154,2011-08-03,15
155,2018-12-22,8
156,2025-11-28,1
157,2021-07-26,5
158,2020-05-10,6
159,2021-01-22,5
160,2012-07-28,14
161,2011-10-07,15
162,2019-05-24,7
163,2020-12-07,6
164,2022-10-15,4
165,2018-03-02,8
166,2025-08-20,1
167,2026-10-01,0
168,2017-04-03,9
169,2023-07-08,3
170,2019-07-29,7
171,2011-02-25,15
172,2015-01-08,11
173,2025-07-10,1
174,2023-11-01,3
175,2016-01-19,10
176,2021-07-13,5
177,2010-06-25,16
178,2009-05-23,17
179,2014-12-11,12
180,2014-02-23,12
181,2019-02-22,7
182,2019-09-20,7
183,2011-08-07,15
184,2018-09-20,8
185,2023-07-27,3
186,2013-08-29,13
187,2015-11-09,11
188,2017-11-07,9
189,2022-08-16,4
190,2022-02-12,4
191,2020-11-02,6
192,2021-12-05,5
193,2009-08-30,17
194,2020-10-03,6
195,2019-12-27,7
196,2011-11-07,15
197,2016-06-01,10
198,2021-08-22,5
199,2008-01-31,18
200,2026-10-27,0
201,2026-04-16,0
202,2026-07-19,0
203,2022-01-02,4
204,2026-03-16,0
205,2012-11-02,14
206,2024-10-01,2
207,2022-02-03,4
208,2012-09-15,14
209,2021-04-01,5
210,2015-08-20,11
211,2011-01-13,15
212,2011-01-04,15
213,2018-06-26,8
214,2017-01-12,9
215,2020-04-11,6
216,2026-02-26,0
217,2026-01-17,0
218,2012-01-11,14
219,2015-05-02,11
220,2020-10-20,6
221,2022-04-27,4
222,2011-02-13,15
223,2019-10-01,7
224,2026-02-07,0
225,2012-07-09,14
226,2016-05-29,10
227,2017-07-05,9
228,2013-03-31,13
229,2023-01-05,3
230,2021-07-03,5
231,2017-08-02,9
232,2012-01-21,14
233,2016-01-25,10
234,2012-10-06,14
235,2026-11-19,0
236,2012-01-17,14
237,2026-03-19,0
238,2018-12-20,8
239,2026-07-13,0
240,2025-06-13,1
241,2024-10-10,2
242,2015-02-17,11
243,2026-10-06,0
244,2020-02-01,6
245,2019-01-24,7
246,2014-10-30,12
247,2026-12-30,0
248,2023-05-04,3
249,2026-10-17,0
250,2021-05-04,5
251,2019-08-13,7
252,2019-02-23,7
253,2016-04-01,10
254,2024-06-22,2
255,2011-01-05,15
256,2020-03-07,6
257,2018-07-03,8
258,2014-11-18,12
259,2022-07-14,4
260,2012-08-11,14
261,2024-03-01,2
262,2012-05-02,14
263,2020-11-10,6
264,2019-10-02,7
265,2013-02-10,13
266,2025-04-11,1
267,2024-02-15,2
268,2024-05-26,2
269,2022-05-29,4
270,2023-02-08,3
271,2020-11-27,6
272,2019-09-27,7
273,2017-10-23,9
274,2022-06-13,4
275,2018-06-04,8
276,2023-08-07,3
277,2010-02-16,16
278,2010-02-25,16
279,2025-06-25,1
280,2020-08-15,6
281,2011-04-11,15
282,2025-05-14,1
283,2016-09-12,10
284,2014-11-15,12
285,2025-01-30,1
286,2011-08-29,15
287,2023-04-13,3
288,2012-10-25,14
289,2014-02-28,12
290,2011-01-28,15
291,2021-09-09,5
292,2012-01-24,14
293,2026-01-18,0
294,2026-01-05,0
295,2018-05-17,8
296,2023-07-12,3
297,2025-07-28,1
298,2021-02-09,5
299,2011-04-17,15
300,2019-05-14,7
301,2016-07-09,10
302,2018-11-02,8
303,2024-04-09,2
304,2026-10-29,0
305,2024-08-15,2
306,2026-07-09,0
307,2013-07-20,13
308,2009-12-25,17
309,2026-06-18,0
310,2026-03-03,0
311,2013-04-30,13
312,2025-09-09,1
313,2023-05-12,3
314,2026-09-12,0
315,2018-08-10,8
316,2023-04-23,3
317,2020-09-23,6
318,2018-01-12,8
319,2018-10-28,8
320,2020-07-19,6
321,2018-08-07,8
322,2013-11-22,13
323,2014-10-17,12
324,2015-07-01,11
325,2019-03-27,7
326,2026-01-20,0
327,2023-03-20,3
328,2025-10-03,1
329,2023-12-03,3
330,2016-04-05,10
331,2023-11-27,3
332,2017-05-18,9
333,2020-02-14,6
334,2026-04-24,0
335,2014-02-12,12
336,2017-03-11,9
337,2014-08-01,12
338,2023-07-21,3
339,2009-06-20,17
340,2010-02-24,16
341,2016-12-10,10
342,2026-06-04,0
343,2026-04-26,0
344,2026-08-01,0
345,2022-08-20,4
346,2023-11-07,3
347,2023-03-14,3
348,2026-09-28,0
349,2022-04-29,4
350,2016-04-10,10
351,2024-07-16,2
352,2015-04-23,11
353,2011-12-13,15
354,2020-10-24,6
355,2025-01-27,1
356,2026-10-26,0
357,2023-02-27,3
358,2017-02-25,9
359,2011-06-17,15
360,2012-05-11,14
361,2019-03-24,7
362,2014-03-29,12
363,2023-01-27,3
364,2020-02-27,6
365,2019-10-12,7
366,2017-12-24,9
367,2009-06-02,17
368,2011-11-09,15
369,2026-06-06,0
370,2017-09-27,9
371,2025-03-15,1
372,2022-11-02,4
373,2020-04-07,6
374,2011-10-09,15
375,2013-07-09,13
376,2012-02-04,14
377,2022-06-11,4
378,2019-09-14,7
379,2016-03-03,10
380,2010-07-21,16
381,2011-12-20,15
382,2023-04-28,3
383,2013-11-24,13
384,2011-10-06,15
385,2023-10-09,3
386,2021-04-06,5
387,2026-07-31,0
388,2023-12-01,3
389,2009-05-25,17
390,2022-02-05,4
391,2020-12-02,6
392,2017-02-16,9
393,2015-08-04,11
394,2014-05-27,12
395,2014-07-06,12
396,2026-07-10,0
397,2019-06-30,7
398,2026-10-20,0
399,2015-11-06,11
400,2011-04-28,15
401,2015-01-14,11
402,2017-10-13,9
403,2016-04-19,10
404,2011-04-26,15
405,2023-05-30,3
406,2023-10-07,3
407,2010-05-19,16
408,2022-09-03,4
409,2024-06-30,2
410,2009-07-19,17
411,2025-12-01,1
412,2022-03-18,4
413,2019-11-06,7
414,2021-02-14,5
415,2026-10-24,0
416,2012-10-19,14
417,2024-08-08,2
418,2017-06-04,9
419,2022-02-25,4
420,2023-06-02,3
421,2026-03-15,0
422,2026-05-14,0
423,2026-04-18,0
424,2021-05-07,5
425,2026-08-07,0
426,2020-04-13,6
427,2019-03-25,7
428,2025-05-01,1
429,2022-10-30,4
430,2026-01-09,0
431,2017-12-21,9
432,2015-01-27,11
433,2012-05-03,14
434,2026-08-10,0
435,2021-09-20,5
436,2009-08-06,17
437,2018-09-29,8
438,2021-11-23,5
439,2010-04-12,16
440,2026-06-30,0
441,2022-02-02,4
442,2019-07-16,7
443,2017-02-03,9
444,2019-12-30,7
445,2026-08-09,0
446,2016-08-10,10
447,2019-06-04,7
448,2021-02-11,5
449,2016-12-15,10
450,2015-10-16,11
451,2017-02-13,9
452,2020-08-23,6
453,2015-08-23,11
454,2023-02-10,3
455,2015-11-03,11
456,2021-04-14,5
457,2021-09-29,5
458,2017-03-09,9
459,2015-12-19,11
460,2021-11-05,5
461,2026-09-15,0
