fact_id,education_id,candidate_id,skills_id,time_id,employment_status,salary,job_sector
1,1,1,1,1,Employed,54397,Healthcare
2,2,2,2,2,Employed,69635,Finance
3,3,3,3,3,Employed,96216,Finance
4,4,4,1,4,Employed,86076,Other
5,5,5,4,5,Employed,82772,Finance
6,6,6,5,6,Employed,28333,Healthcare
7,7,7,1,7,Unemployed,0,N/A
8,8,8,6,8,Continuing Education,0,N/A
9,9,9,4,9,Employed,59515,Consulting
10,10,10,7,10,Employed,50604,Education
11,11,11,1,11,Employed,55677,Retail
12,12,1,5,12,Employed,37983,Engineering
13,13,12,1,13,Continuing Education,0,N/A
14,14,13,3,14,Continuing Education,0,N/A
15,15,14,6,15,Continuing Education,0,N/A
16,16,3,1,16,Continuing Education,0,N/A
17,17,15,3,17,Employed,49347,IT
18,18,16,5,18,Employed,43465,Consulting
19,19,17,3,19,Employed,58023,Healthcare
20,20,18,2,20,Unemployed,0,N/A
21,21,19,8,21,Employed,36744,Finance
22,22,20,4,22,Unemployed,0,N/A
23,23,21,2,23,Employed,60847,Consulting
24,24,22,4,24,Employed,52631,Healthcare
25,25,2,1,25,Employed,63869,Education
26,26,23,4,26,Continuing Education,0,N/A
27,27,24,1,27,Employed,104921,Finance
28,28,25,5,28,Employed,27739,Education
29,29,26,4,29,Continuing Education,0,N/A
30,30,27,1,30,Employed,91852,Finance
31,31,28,3,31,Employed,61261,Consulting
32,32,29,6,32,Unemployed,0,N/A
33,33,30,1,33,Employed,39617,Other
34,34,31,8,34,Continuing Education,0,N/A
35,35,32,2,35,Employed,49322,Consulting
36,36,33,5,36,Employed,58618,Engineering
37,37,28,3,37,Employed,62093,Retail
38,38,34,3,38,Unemployed,0,N/A
39,39,35,5,39,Unemployed,0,N/A
40,40,36,7,40,Employed,35860,Finance
41,41,37,4,41,Employed,88514,Engineering
42,42,38,4,42,Continuing Education,0,N/A
43,43,39,8,43,Employed,77734,IT
44,44,40,8,44,Employed,38251,IT
45,45,41,7,45,Employed,67027,Consulting
46,46,9,6,46,Continuing Education,0,N/A
47,47,42,5,47,Employed,67892,Healthcare
48,48,43,5,48,Continuing Education,0,N/A
49,49,44,6,49,Unemployed,0,N/A
50,50,45,2,50,Employed,66130,Healthcare
51,51,46,5,51,Employed,52385,Engineering
52,52,15,2,52,Unemployed,0,N/A
53,53,47,3,53,Continuing Education,0,N/A
54,54,39,4,54,Continuing Education,0,N/A
55,55,48,7,55,Employed,52866,Engineering
56,56,49,2,56,Unemployed,0,N/A
57,57,50,7,57,Employed,25215,Finance
58,58,51,3,58,Unemployed,0,N/A
59,59,18,5,59,Employed,41058,Retail
60,60,52,8,60,Employed,44017,Consulting
61,61,53,1,61,Unemployed,0,N/A
62,62,54,3,62,Continuing Education,0,N/A
63,63,55,2,63,Unemployed,0,N/A
64,64,56,8,64,Employed,49804,Retail
65,65,57,2,65,Employed,57905,Other
66,66,58,2,66,Unemployed,0,N/A
67,67,59,1,67,Continuing Education,0,N/A
68,68,60,7,68,Continuing Education,0,N/A
69,69,61,8,69,Continuing Education,0,N/A
70,70,62,3,70,Employed,55397,IT
71,71,63,5,71,Employed,48373,Other
72,72,64,5,72,Employed,50532,Education
73,73,65,1,73,Employed,53689,IT
74,74,66,1,74,Continuing Education,0,N/A
75,75,67,1,75,Continuing Education,0,N/A
76,76,68,7,76,Continuing Education,0,N/A
77,77,69,7,77,Continuing Education,0,N/A
78,78,70,2,78,Employed,83682,Healthcare
79,79,68,1,79,Employed,59165,Consulting
80,80,71,7,80,Employed,30857,Consulting
81,81,72,7,81,Employed,91496,Finance
82,82,73,5,82,Employed,36599,Finance
83,83,74,3,83,Employed,42638,Consulting
84,84,34,5,84,Continuing Education,0,N/A
85,85,15,1,85,Continuing Education,0,N/A
86,86,75,3,86,Employed,62047,Healthcare
87,87,76,2,87,Unemployed,0,N/A
88,88,57,5,88,Employed,65774,Other
89,89,77,3,89,Unemployed,0,N/A
90,90,78,7,90,Continuing Education,0,N/A
91,91,79,5,91,Employed,49223,Education
92,92,80,3,92,Unemployed,0,N/A
93,93,81,4,93,Employed,58975,IT
94,94,82,4,94,Employed,45911,Education
95,95,83,7,95,Employed,48061,Finance
96,96,84,3,96,Employed,37195,Healthcare
97,97,85,3,97,Continuing Education,0,N/A
98,98,86,1,98,Employed,90417,Other
99,99,87,4,99,Employed,86871,Retail
100,100,88,4,100,Unemployed,0,N/A
101,101,10,2,101,Unemployed,0,N/A
102,102,30,2,102,Continuing Education,0,N/A
103,103,80,2,103,Continuing Education,0,N/A
104,104,89,5,104,Employed,40149,Education
105,105,90,2,105,Continuing Education,0,N/A
106,106,55,4,106,Employed,55816,Other
107,107,91,5,107,Employed,38683,Other
108,108,69,1,108,Employed,58982,Retail
109,109,92,5,109,Employed,70216,IT
110,110,60,5,110,Continuing Education,0,N/A
111,111,4,2,111,Employed,45760,Retail
112,112,26,5,112,Employed,37980,Healthcare
113,113,93,8,113,Employed,37083,IT
114,114,94,1,114,Employed,54476,IT
115,115,95,3,115,Continuing Education,0,N/A
116,116,96,2,116,Continuing Education,0,N/A
117,117,97,7,117,Unemployed,0,N/A
118,118,98,5,118,Employed,32539,Consulting
119,119,99,5,119,Employed,38778,Retail
120,120,69,3,120,Continuing Education,0,N/A
121,121,100,5,121,Employed,66924,Consulting
122,122,16,1,122,Continuing Education,0,N/A
123,123,24,3,123,Employed,81024,Other
124,124,101,5,124,Employed,90515,Finance
125,125,68,1,125,Continuing Education,0,N/A
126,126,102,2,91,Continuing Education,0,N/A
127,127,103,1,126,Employed,57837,Other
128,128,104,4,127,Employed,42178,Retail
129,129,105,8,128,Employed,34195,Education
130,130,7,1,129,Employed,68428,Consulting
